id, title, releaseYear
716,The Music Box,1932
717,The Naked Spur,1953
718,Rear Window,1954
719,Republic Steel Strike Riot Newsreel Footage,1937
720,Return of the Secaucus 7,1980
721,The Thin Man,1934
722,Tulips Shall Grow,1942
723,West Side Story,1961
724,Wings,1927
725,The Awful Truth,1937
726,Broken Blossoms,1919
727,The Deer Hunter,1978
728,Destry Rides Again,1939
729,Flash Gordon Serial,1936
730,The Forgotten Frontier,1931
731,Frank Film,1973
732,The Graduate,1967
733,The Heiress,1949
734,The Jazz Singer,1927
735,The Life and Times of Rosie the Riveter,1980
736,M*A*S*H,1970
737,Mildred Pierce,1945
738,The Outlaw Josey Wales,1976
739,The Producers,1968
740,Pull My Daisy,1959
741,Road to Morocco,1942
742,She Done Him Wrong,1933
743,Shock Corridor,1963
744,Show Boat,1936
745,The Thief of Bagdad,1924
746,To Be or Not to Be,1942
747,Topaz,1943
748,Verbena tragica,1939
749,Woodstock,1970
750,The Adventures of Robin Hood,1938
751,All That Heaven Allows,1955
752,American Graffiti,1973
753,The Band Wagon,1953
754,Blacksmith Scene,1893
755,Cabaret,1972
756,Chan Is Missing,1982
757,The Conversation,1974
758,The Day the Earth Stood Still,1951
759,El Norte,1983
760,Fatty’s Tintype Tangle,1915
761,The Four Horsemen of the Apocalypse,1921
762,Fury,1936
763,Gerald McBoing-Boing,1951
764,The Hospital,1971
765,Jammin’ the Blues,1944
766,The Last of the Mohicans,1920
767,Manhatta,1921
768,North By Northwest,1959
769,The Philadelphia Story,1940
770,Rip Van Winkle,1896
771,Seventh Heaven,1927
772,Stagecoach,1939
773,To Fly!,1976
774,To Kill a Mockingbird,1962
775,The African Queen,1951
776,The Apartment,1960
777,The Cool World,1963
778,A Corner in Wheat,1909
779,E.T. The Extra-Terrestrial,1982
780,The Exploits of Elaine,1914
781,Force of Evil,1948
782,Freaks,1932
783,Hell’s Hinges,1916
784,Hospital,1970
785,Invasion of the Body Snatchers,1956
786,The Lady Eve,1941
787,Louisiana Story,1948
788,The Manchurian Candidate,1962
789,Marty,1955
790,Meet Me in St. Louis,1944
791,Midnight Cowboy,1969
792,A MOVIE,1958
793,Pinocchio,1940
794,Safety Last!,1923
795,Scarface,1932
796,Snow White,1933
797,Tabu,1931
798,Taxi Driver,1976
799,Zapruder Film,1963
800,An American in Paris,1951
801,Badlands,1973
802,The Black Pirate,1926
803,Blade Runner,1982
804,Cat People,1942
805,The Cheat,1915
806,Chulas Fronteras,1976
807,Eaux d’artifice,1953
808,The Godfather Part II,1974
809,His Girl Friday,1940
810,It Happened One Night,1934
811,Lassie Come Home,1943
812,Magical Maestro,1952
813,March of Time: Inside Nazi Germany,1938
814,A Night at the Opera,1935
815,Nothing But a Man,1964
816,One Flew Over the Cuckoo’s Nest,1975
817,Point of Order,1964
818,Shadows,1959
819,Shane,1953
820,Sweet Smell of Success,1957
821,Touch of Evil,1958
822,Where Are My Children?,1916
823,The Wind,1928
824,Yankee Doodle Dandy,1942
825,Adam’s Rib,1949
826,Annie Hall,1977
827,The Bank Dick,1940
828,Big Business,1929
829,The Big Parade,1925
830,The Birth of a Nation,1915
831,Bonnie and Clyde,1967
832,Carmen Jones,1954
833,Castro Street (The Coming of Consciousness),1966
834,Detour,1945
835,Dog Star Man,1964
836,Double Indemnity,1944
837,Footlight Parade,1933
838,The Gold Rush,1925
839,Letter from an Unknown Woman,1948
840,Morocco,1930
841,Nashville,1975
842,The Night of the Hunter,1955
843,Paths of Glory,1957
844,Psycho,1960
845,Ride the High Country,1962
846,Salesman,1968
847,Salt of the Earth,1954
848,"What’s Opera, Doc?",1957
849,Within Our Gates,1920
850,2001: A Space Odyssey,1968
851,The Battle of San Pietro,1945
852,The Blood of Jesus,1941
853,Chinatown,1974
854,City Lights,1931
855,David Holzman’s Diary,1968
856,Frankenstein,1931
857,Gertie The Dinosaur,1914
858,Gigi,1958
859,Greed,1924
860,High School,1969
861,I Am a Fugitive from a Chain Gang,1932
862,The Italian,1915
