id, title, releaseYear
1472,Police Academy,1984
1473,Footloose,1984
1474,A Nightmare on Elm Street,1984
1475,Amadeus,1984
1476,The Terminator,1984
1477,Broadway Danny Rose,1984
1478,Once Upon a Time in America,1984
1479,Blood Simple,1984
1480,Missing in Action,1984
1481,Stranger Than Paradise,1984
1482,The Killing Fields,1984
1483,Back to the Future,1985
1484,Brazil,1985
1485,The Purple Rose of Cairo,1985
1486,The Goonies,1985
1487,Witness,1985
1488,Pee-Wee's Big Adventure,1985
1489,The Breakfast Club,1985
1490,Desperately Seeking Susan,1985
1491,Spies Like Us,1985
1492,Rambo: First Blood Part II,1985
1493,Rocky IV,1985
1494,Commando,1985
1495,Out of Africa,1985
1496,Aliens,1986
1497,Platoon,1986
1498,Top Gun,1986
1499,Down and Out in Beverly Hills,1986
1500,Stand By Me,1986
1501,Crocodile Dundee,1986
1502,Ferris Bueller's Day Off,1986
1503,Three Amigos,1986
1504,Blue Velvet,1986
1505,Hannah and Her Sisters,1986
1506,Pretty in Pink,1986
1507,Hoosiers,1986
1508,The Color of Money,1986
1509,The Princess Bride,1987
1510,Fatal Attraction,1987
1511,RoboCop,1987
1512,Empire of the Sun,1987
1513,Wall Street,1987
1514,Raising Arizona,1987
1515,Three Men and a Baby,1987
1516,Dirty Dancing,1987
1517,Lethal Weapon,1987
1518,Broadcast News,1987
1519,Ironweed,1987
1520,The Untouchables,1987
1521,"Good Morning, Vietnam",1987
1522,Hamburger Hill,1987
1523,Full Metal Jacket,1987
1524,Predator,1987
1525,The Last Emperor,1987
1526,Moonstruck,1987
1527,"Planes, Trains & Automobiles",1987
1528,Who Framed Roger Rabbit,1988
1529,Coming to America,1988
1530,Big,1988
1531,Beetlejuice,1988
1532,Bull Durham,1988
1533,The Naked Gun: From the Files of Police Squad!,1988
1534,Working Girl,1988
1535,A Cry in the Dark,1988
1536,Mississippi Burning,1988
1537,Die Hard,1988
1538,Rain Man,1988
1539,Bloodsport,1988
1540,Batman,1989
1541,Do the Right Thing,1989
1542,Drugstore Cowboy,1989
1543,Crimes and Misdemeanors,1989
1544,"Sex, Lies and Videotape",1989
1545,Born on the Fourth of July,1989
1546,Dead Poets Society,1989
1547,My Left Foot,1989
1548,Field of Dreams,1989
1549,When Harry Met Sally...,1989
1550,Say Anything ...,1989
1551,Parenthood,1989
1552,The Little Mermaid,1989
1553,Glory,1989
1554,The Abyss,1989
1555,Goodfellas,1990
1556,House Party,1990
1557,To Sleep with Anger,1990
1558,Pretty Woman,1990
1559,Edward Scissorhands,1990
1560,Dances with Wolves,1990
1561,Miller's Crossing,1990
1562,Awakenings,1990
1563,Ghost,1990
1564,Slacker,1990
1565,Blue Steel,1990
1566,Home Alone,1990
1567,The Silence of the Lambs,1991
1568,Thelma and Louise,1991
1569,L.A. Story,1991
1570,JFK,1991
1571,Boyz n the Hood,1991
1572,Barton Fink,1991
1573,New Jack City,1991
1574,Daughters of the Dust,1991
1575,Point Break,1991
1576,The Prince of Tides,1991
1577,Hangin' with the Homeboys,1991
1578,Trust,1991
1579,Poison,1991
1580,Beauty and the Beast,1991
1581,Little Man Tate,1991
1582,Rambling Rose,1991
1583,Terminator 2: Judgement Day,1991
1584,Basic Instinct,1992
1585,Malcolm X,1992
1586,Reservoir Dogs,1992
1587,Wayne's World,1992
1588,Juice,1992
1589,Just Another Girl on the I.R.T.,1992
1590,Gas Food Lodging,1992
1591,A Few Good Men,1992
1592,Boomerang,1992
1593,Aladdin,1992
1594,The Last of the Mohicans,1992
1595,Unforgiven,1992
1596,A League of Their Own,1992
1597,Philadelphia,1993
1598,Schindler's List,1993
1599,Groundhog Day,1993
1600,Mrs. Doubtfire,1993
1601,Poetic Justice,1993
1602,Six Degrees of Separation,1993
1603,Sleepless in Seattle,1993
1604,Dazed and Confused,1993
1605,The Nightmare Before Christmas,1993
1606,The Piano,1993
1607,Jurassic Park,1993
1608,The Shawshank Redemption,1994
1609,Forrest Gump,1994
1610,Heavenly Creatures,1994
1611,Quiz Show,1994
1612,The Mask,1994
1613,Dumb and Dumber,1994
1614,Ace Ventura: Pet Detective,1994
1615,Crooklyn,1994
1616,Four Weddings and a Funeral,1994
1617,Clerks,1994
1618,Fresh,1994
1619,Pulp Fiction,1994
1620,The Lion King,1994
1621,Ed Wood,1994
1622,The Hudsucker Proxy,1994
1623,Little Women,1994
1624,The Usual Suspects,1995
1625,Casino,1995
1626,Apollo 13,1995
1627,Higher Learning,1995
1628,While You Were Sleeping,1995
1629,Friday,1995
1630,The Basketball Diaries,1995
1631,Braveheart,1995
1632,Dead Presidents,1995
1633,Waiting to Exhale,1995
1634,How to Make an American Quilt,1995
1635,Bad Boys,1995
1636,Clueless,1995
1637,Welcome to the Dollhouse,1995
1638,The Brothers McMullen,1995
1639,Toy Story,1995
1640,Heat,1995
1641,Se7en,1995
1642,The English Patient,1996
1643,Happy Gilmore,1996
1644,Waiting for Guffman,1996
1645,Set it Off,1996
1646,Independence Day,1996
1647,Jerry Maguire,1996
1648,Swingers,1996
1649,Hard Eight,1996
1650,Fargo,1996
1651,Grace of My Heart,1996
1652,Walking and Talking,1996
1653,Romeo + Juliet,1996
1654,Trainspotting,1996
1655,L.A. Confidential,1997
1656,Austin Powers: International Man of Mystery,1997
1657,Soul Food,1997
1658,My Best Friend's Wedding,1997
1659,Men in Black,1997
1660,As Good As It Gets,1997
1661,Boogie Nights,1997
1662,Titanic,1997
1663,Contact,1997
1664,Rosewood,1997
1665,Out of Sight,1998
1666,The Thin Red Line,1998
1667,Saving Private Ryan,1998
1668,Rushmore,1998
1669,The Wedding Singer,1998
1670,There's Something About Mary,1998
1671,Dr. Dolittle,1998
1672,How Stella Got Her Groove Back,1998
1673,The Big Lebowski,1998
1674,You've Got Mail,1998
1675,The End of the Affair,1999
1676,Office Space,1999
1677,The Best Man,1999
1678,Runaway Bride,1999
1679,Notting Hill,1999
1680,Toy Story 2,1999
1681,Magnolia,1999
1682,The Matrix,1999
1683,The Sixth Sense,1999
1684,The Talented Mr. Ripley,1999
1685,The Blair Witch Project,1999
1686,Man on the Moon,1999
1687,The Cider House Rules,1999
1688,The Hurricane,1999
1689,American Beauty,1999
1690,"Girl, Interrupted",1999
1691,The Insider,1999
1692,Election,1999
1693,Boys Don't Cry,1999
1694,The Virgin Suicides,1999
1695,Three Kings,1999
1696,Being John Malkovich,1999
1697,Fight Club,1999
1698,Star Wars: The Phantom Menace,1999
1699,Gladiator,2000
1700,Erin Brockovich,2000
1701,Memento,2000
1702,Miss Congeniality,2000
1703,Cast Away,2000
1704,Almost Famous,2000
1705,A Beautiful Mind,2001
1706,Ocean's Eleven,2001
1707,Legally Blonde,2001
1708,The Lord of the Rings: The Fellowship of the Ring,2001
1709,Harry Potter and the Sorcerer's Stone,2001
1710,Training Day,2001
1711,Moulin Rouge!,2001
1712,The Royal Tenenbaums,2001
1713,Shrek,2001
1714,"Monsters, Inc.",2001
1715,Minority Report,2002
1716,Ali,2002
1717,Chicago,2002
1718,My Big Fat Greek Wedding,2002
1719,Gangs of New York,2002
1720,Harry Potter and the Chamber of Secrets,2002
1721,The Lord of the Rings: The Two Towers,2002
1722,Men in Black II,2002
1723,Something's Gotta Give,2003
1724,Lost in Translation,2003
1725,The Lord of the Rings: The Return of the King,2003
1726,Pirates of the Caribbean: The Curse of the Black Pearl,2003
1727,Old School,2003
1728,Elf,2003
1729,The Incredibles,2004
1730,Eternal Sunshine of the Spotless Mind,2004
1731,Harry Potter and the Prisoner of Azkaban,2004
1732,The Bourne Supremacy,2004
1733,Anchorman: The Legend of Ron Burgundy,2004
1734,Brokeback Mountain,2005
1735,The-40-Year-Old Virgin,2005
1736,Batman Begins,2005
1737,The Devil Wears Prada,2006
1738,The Departed,2006
1739,Dreamgirls,2006
1740,The Holiday,2006
1741,Casino Royale,2006
1742,Little Miss Sunshine,2006
1743,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006
1744,Pan's Labyrinth,2006
1745,Children of Men,2006
1746,There Will Be Blood,2007
1747,No Country for Old Men,2007
1748,Transformers,2007
1749,Knocked Up,2007
1750,Superbad,2007
1751,Mamma Mia!,2008
1752,WALL-E,2008
1753,Slumdog Millionaire,2008
1754,Twilight,2008
1755,Step Brothers,2008
1756,The Dark Knight,2008
1757,Iron Man,2008
1758,Up,2009
1759,It's Complicated,2009
1760,Inglourious Basterds,2009
1761,The Hangover,2009
1762,Avatar,2009
1763,The Hurt Locker,2009
1764,Precious,2009
1765,True Grit,2010
1766,The Social Network,2010
1767,Black Swan,2010
1768,Harry Potter and the Deathly Hallows: Part 1,2010
1769,Winter's Bone,2010
1770,The Kids Are All Right,2010
1771,Harry Potter and the Deathly Hallows: Part 2,2011
1772,Bridesmaids,2011
1773,Thor,2011
1774,Captain America: The First Avenger,2011
1775,Django Unchained,2012
1776,Lincoln,2012
1777,The Master,2012
1778,Moonrise Kingdom,2012
1779,The Hobbit: An Unexpected Journey,2012
1780,Zero Dark Thirty,2012
1781,Silver Linings Playbook,2012
1782,The Avengers,2012
1783,The Hunger Games,2012
1784,Good Deeds,2012
1785,Fast & Furious 6,2013
1786,The Heat,2013
1787,Gravity,2013
1788,American Hustle,2013
1789,12 Years a Slave,2013
1790,Fruitvale Station,2013
1791,Boyhood,2014
1792,The Grand Budapest Hotel,2014
1793,American Sniper,2014
1794,Guardians of the Galaxy,2014
1795,Birdman or (The Unexpected Virtue of Ignorance),2014
1796,Selma,2014
1797,Mission: Impossible -- Rogue Nation,2015
1798,Spy,2015
1799,Joy,2015
1800,Ant-Man,2015
1801,Creed,2015
1802,Tangerine,2015
1803,The Revenant,2015
1804,Straight Outta Compton,2015
1805,La La Land,2016
1806,Doctor Strange,2016
1807,Moonlight,2016
1808,Fences,2016
1809,Spider-man: Homecoming,2017
1810,The Shape of Water,2017
1811,Mudbound,2017
1812,The Florida Project,2017
1813,Lady Bird,2017
1814,Get Out,2017
1815,Wonder Woman,2017
1816,Avengers: Infinity War,2018
1817,Black Panther,2018
1818,Crazy Rich Asians,2018
1819,Roma,2018
1820,Spider-Man: No Way Home,2021
1821,The Battle at Lake Changjin,2021
1822,Hi Mom,2021
1823,No Time to Die,2021
1824,F9,2021
1825,Detective Chinatown 3,2021
1826,Venom: Let There Be Carnage,2021
1827,Godzilla vs. Kong,2021
1828,Shang-Chi and the Legend of the Ten Rings,2021
1829,Eternals,2021
